Gene,CPTACProteinPairs,CPTACProteinMedianDelta,CPTACProteinP,CPTACProteinQ,CPTACMutationCount,CPTACRecurrence,CPTACProteinSupport,DepMapCCRCCN,DepMapCCRCCMedian,DepMapNonKidneyN,DepMapNonKidneyMedian,DepMapSelectivityDelta,DepMapCCRCCDependency,DepMapCCRCCSelective,Holdout_Category,Evidence_Level,Evidence_Type_Count,FrozenLiteratureHoldout,IndependentEvidenceClassCount,IndependentAnyHit,IndependentStrongHit,LowFrequencyNovel,PostHocNonMutationAnyHit,PostHocNonMutationStrongHit
CHRNA1,,,,,,False,False,16.0,-0.0767197731025043,1144.0,-0.05362431931852,0.0230954537839843,False,False,,,,False,0,False,False,True,False,False
FHL5,80.0,-0.3369294770078017,0.0004006429071637,0.0006089514885443,0.0,False,False,16.0,0.054267061298207,1144.0,0.0099525781431191,-0.0443144831550878,False,False,,,,False,0,False,False,True,False,False
WT1,12.0,,,,1.0,False,False,16.0,0.0970074272928838,1144.0,0.0936302531697617,-0.0033771741231221,False,False,,,,False,0,False,False,True,False,False
KLF8,,,,,,False,False,16.0,-0.03802544094899,1144.0,-0.035609888724138,0.002415552224852,False,False,,,,False,0,False,False,True,False,False
RBM42,80.0,0.0970539374509495,0.0005537177958275,0.0008305035860313,0.0,False,False,16.0,-0.5764698743051712,1144.0,-0.5490962471065524,0.0273736271986188,True,False,,,,False,0,False,False,True,False,False
SMAD2,80.0,-0.25110680781615,1.6507568602974162e-11,5.451336608424026e-11,1.0,False,False,16.0,-0.0373600164849741,1144.0,-0.0056764061304462,0.0316836103545279,False,False,,,,False,0,False,False,True,False,False
CHD6,22.0,0.2955961243974485,0.0032391548156738,0.0045149446265097,4.0,True,False,16.0,0.0197281878585514,1144.0,-0.0176497493166866,-0.037377937175238,False,False,,,,False,1,True,False,True,False,False
RHOT2,80.0,-0.4165255442445499,4.962197657500323e-12,1.7748918573426848e-11,0.0,False,False,16.0,-0.0565285991517533,1144.0,-0.0269954201744797,0.0295331789772736,False,False,,,,False,0,False,False,True,False,False
SCYL2,80.0,-0.4597221339648012,1.3816810416532172e-14,1.3865633068180698e-13,2.0,True,False,16.0,-0.0115018008584792,1144.0,0.0256529033976314,0.0371547042561106,False,False,,,,False,1,True,False,True,False,False
SVEP1,62.0,-0.5153945502085993,1.4860563107348053e-06,2.844893779903503e-06,4.0,True,False,16.0,-0.0092096100019893,1144.0,0.0250215718455833,0.0342311818475726,False,False,,,,False,1,True,False,True,False,False
NR3C2,31.0,-0.5971831655472997,3.4635886549949646e-06,6.3894717636802205e-06,0.0,False,False,16.0,0.0382030399397259,1144.0,0.0476999683004357,0.0094969283607097,False,False,,,,False,0,False,False,True,False,False
HSP90AA1,80.0,-0.3435044554915514,9.094405623085377e-14,4.952658095793378e-13,0.0,False,False,16.0,-0.1294714395993791,1144.0,-0.248355310365709,-0.1188838707663299,False,False,,,,False,0,False,False,True,False,False
NCOR2,80.0,0.7434269643468507,7.849526548031477e-15,1.3354214595445762e-13,1.0,False,False,16.0,-0.1470435150654189,1144.0,-0.0827227283161524,0.0643207867492664,False,False,,,,False,0,False,False,True,False,False
NCOR1,80.0,0.1609603086519992,8.2192096361228e-08,1.76503254189707e-07,0.0,False,False,16.0,-0.1286723412182757,1144.0,-0.134582379295326,-0.0059100380770502,False,False,,,,False,0,False,False,True,False,False
RB1,80.0,0.4447053266667993,6.087330126987613e-14,3.539000524185225e-13,0.0,False,False,16.0,0.2040000061095367,1144.0,0.2230931803151734,0.0190931742056366,False,False,Rare_somatic_driver,A,2.0,True,1,True,False,True,True,False
JUN,53.0,0.2940264198516011,4.2450092018384405e-06,7.77544413622778e-06,0.0,False,False,16.0,-0.3422672864938565,1144.0,-0.2428854305251322,0.0993818559687242,False,False,,,,False,0,False,False,True,False,False
MED14,80.0,0.0478159748489002,0.0140610860446565,0.0183982881210893,0.0,False,False,16.0,-1.4107519785013714,1144.0,-1.4666046350740896,-0.0558526565727182,True,False,,,,False,0,False,False,True,False,False
TMF1,80.0,-0.046389666368702,0.3326200290320117,0.3656438484423895,0.0,False,False,16.0,-0.0151634739481481,1144.0,-0.0089349584936824,0.0062285154544657,False,False,,,,False,0,False,False,True,False,False
NCOA3,64.0,0.1610787363743977,4.515638592409489e-05,7.477792188013381e-05,0.0,False,False,16.0,-0.1639750355094962,1144.0,-0.1334679512124643,0.0305070842970319,False,False,,,,False,0,False,False,True,False,False
NCOA4,76.0,0.2584531322865011,2.3187364268671275e-08,5.272387071499313e-08,0.0,False,False,16.0,-0.452900896484403,1144.0,-0.3803802509215435,0.0725206455628595,False,False,,,,False,0,False,False,True,False,False
